"BUYER_STATE","BUYER_COUNTY","MONTH_NUM","YEAR_NUM","TOTAL_PILLS"
"CA","ALAMEDA","8","2008","7154810"
"CA","ALAMEDA","9","2008","7284335"
"CA","ALAMEDA","10","2008","7288440"
"CA","ALAMEDA","11","2008","6836250"
"CA","ALAMEDA","12","2008","10294280"
"CA","ALAMEDA","1","2009","7297930"
"CA","ALAMEDA","2","2009","6791910"
"CA","ALAMEDA","3","2009","7146296"
"CA","ALAMEDA","4","2009","16984995"
"CA","ALAMEDA","5","2009","7656705"
"CA","ALAMEDA","6","2009","7284925"
"CA","ALAMEDA","7","2009","7828750"
"CA","ALAMEDA","8","2009","6797215"
"CA","ALAMEDA","9","2009","7751810"
"CA","ALAMEDA","10","2009","3853640"
"CA","ALAMEDA","11","2009","3562320"
"CA","ALAMEDA","12","2009","7249553"
"CA","ALAMEDA","1","2010","6788980"
"CA","ALAMEDA","2","2010","6875335"
"CA","ALAMEDA","3","2010","8269775"
"CA","ALAMEDA","4","2010","7665485"
"CA","ALAMEDA","5","2010","7100565"
"CA","ALAMEDA","6","2010","7769600"
"CA","ALAMEDA","7","2010","7905798"
"CA","ALAMEDA","8","2010","7372075"
"CA","ALAMEDA","9","2010","7648160"
"CA","ALAMEDA","10","2010","7042200"
"CA","ALAMEDA","11","2010","7467280"
"CA","ALAMEDA","12","2010","7907390"
"CA","ALAMEDA","1","2011","8000895"
"CA","ALAMEDA","2","2011","6756535"
"CA","ALAMEDA","3","2011","8501435"
"CA","ALAMEDA","4","2011","7687260"
"CA","ALAMEDA","5","2011","7707350"
"CA","ALAMEDA","6","2011","8007770"
"CA","ALAMEDA","7","2011","7321645"
"CA","ALAMEDA","8","2011","8128380"
"CA","ALAMEDA","9","2011","7694555"
"CA","ALAMEDA","10","2011","7817085"
"CA","ALAMEDA","11","2011","7874505"
"CA","ALAMEDA","12","2011","8083345"
"CA","ALAMEDA","1","2012","7746880"
"CA","ALAMEDA","2","2012","7695650"
"CA","ALAMEDA","3","2012","8244448"
"CA","ALAMEDA","4","2012","7475330"
"CA","ALAMEDA","5","2012","8174075"
"CA","ALAMEDA","6","2012","7974445"
"CA","ALAMEDA","7","2012","7789535"
"CA","ALAMEDA","8","2012","8017350"
"CA","ALAMEDA","9","2012","7177205"
"CA","ALAMEDA","10","2012","8572915"
"CA","ALAMEDA","11","2012","7953573"
"CA","ALAMEDA","12","2012","7427757"
"CA","ALAMEDA","1","2013","8118085"
"CA","ALAMEDA","2","2013","7093230"
"CA","ALAMEDA","3","2013","7539585"
"CA","ALAMEDA","4","2013","7564224"
"CA","ALAMEDA","5","2013","8002990"
"CA","ALAMEDA","6","2013","7188540"
"CA","ALAMEDA","7","2013","7618831"
"CA","ALAMEDA","8","2013","7610905"
"CA","ALAMEDA","9","2013","6925510"
"CA","ALAMEDA","10","2013","8066130"
"CA","ALAMEDA","11","2013","7175880"
"CA","ALAMEDA","12","2013","7480270"
"CA","ALAMEDA","1","2014","7937520"
"CA","ALAMEDA","2","2014","7219565"
"CA","ALAMEDA","3","2014","7027280"
"CA","ALAMEDA","4","2014","7523585"
"CA","ALAMEDA","5","2014","7393620"
"CA","ALAMEDA","6","2014","7115360"
"CA","ALAMEDA","7","2014","7841780"
"CA","ALAMEDA","8","2014","7350330"
"CA","ALAMEDA","9","2014","7430580"
"CA","ALAMEDA","10","2014","3576410"
"CA","ALAMEDA","11","2014","2945530"
"CA","ALAMEDA","12","2014","3698120"
"KY","ALLEN","1","2006","64000"
"KY","ALLEN","2","2006","54900"
"KY","ALLEN","3","2006","64300"
"KY","ALLEN","4","2006","79700"
"KY","ALLEN","5","2006","65400"
"KY","ALLEN","6","2006","90600"
"KY","ALLEN","7","2006","72600"
"KY","ALLEN","8","2006","97800"
"KY","ALLEN","9","2006","54800"
"KY","ALLEN","10","2006","107100"
"KY","ALLEN","11","2006","78500"
"KY","ALLEN","12","2006","77800"
"KY","ALLEN","1","2007","97400"
"KY","ALLEN","2","2007","73200"
"KY","ALLEN","3","2007","87600"
"KY","ALLEN","4","2007","105700"
"KY","ALLEN","5","2007","89300"
"KY","ALLEN","6","2007","100000"
"KY","ALLEN","7","2007","98100"
"KY","ALLEN","8","2007","104900"
"KY","ALLEN","9","2007","95000"
"KY","ALLEN","10","2007","105600"
"KY","ALLEN","11","2007","102800"
"KY","ALLEN","12","2007","137800"
"KY","ALLEN","1","2008","94900"
"KY","ALLEN","2","2008","112700"
"KY","ALLEN","3","2008","109830"
"KY","ALLEN","4","2008","123500"
"KY","ALLEN","5","2008","109700"
"KY","ALLEN","6","2008","101700"
"KY","ALLEN","7","2008","129700"
"KY","ALLEN","8","2008","123000"
"KY","ALLEN","9","2008","114200"
"KY","ALLEN","10","2008","133500"
"KY","ALLEN","11","2008","97100"
"KY","ALLEN","12","2008","130900"
"KY","ALLEN","1","2009","121400"
